enzyme_name,species_name
laccase, Phormidium lucidum 
laccase, Oscillatoria subbrevis 
laccase, Scenedesmus dimorphus
laccase, Anabaena spiroides
laccase, Navicula pupula 
laccase, Nostoc carneum
manganese peroxidase, Phormidium lucidum 
manganese peroxidase, Oscillatoria subbrevis
manganese peroxidase, Nostoc Carneum
PETase, Chlamydomonas reinhardtii
PETase, Phaeodactylum tricornutum
Esterase, Chaetoceros muelleri 
Esterase, Dunaliella salina
Esterase, Cylindrotheca closterium
polyphenol oxidase, Chlorella pyrenoidosa
peroxidase, Chlorella pyrenoidosa
Glycosyltransferase, Chlorella pyrenoidosa
Glycosyltransferase, Desmodesmus sp
DBP Hydrolase, Cylindrotheca closterium
polyester hydrolase, Chlamydomonas incerta
polyester hydrolase, Chlamydomonas reinhardtii
oxidoreductase, Desmodesmus sp.
lignin peroxidase, Phormidium lucidum
lignin peroxidase, Oscillatoria subbrevis
lignin peroxidase, Scenedesmus dimorphus
lignin peroxidase, Anabaena spiroides
lignin peroxidase, Navicula pupula
lignin peroxidase, Nostoc carneum
versatile peroxidase, Phormidium lucidum
versatile peroxidase, Oscillatoria subbrevis
versatile peroxidase, Scenedesmus dimorphus
versatile peroxidase, Anabaena spiroides
versatile peroxidase, Navicula pupula
versatile peroxidase, Nostoc carneum
laccase, Scenedesmus dimorphus
laccase, Chlorella vulgaris
laccase, Chlamydomonas reinhardtii
laccase, Phaeodactylum tricornutum
laccase, Dunaliella salina
laccase, Navicula pupula
laccase, Anabaena spiroides
laccase, Oscillatoria subbrevis
laccase, Phormidium lucidum
laccase, Oscillatoria princeps
laccase, Oscillatoria acuminate
laccase, Oscillatoria willei
laccase, Oscillatoria amoena
laccase, Oscillatoria splendida
laccase, Oscillatoria vizagapatensis
laccase, Oscillatoria limnetica
laccase, Oscillatoria earlei
laccase, Oscillatoria peronata
laccase, Oscillatoria formosa
laccase, Oscillatoria okeni
laccase, Oscillatoria geitleriana
laccase, Oscillatoria chalybea
laccase, Oscillatoria rubescens
laccase, Oscillatoria curviceps
laccase, Oscillatoria tenuis
laccase, Oscillatoria laete-virens
laccase, Lyngbya diguetii
laccase, Nostoc carneum
laccase, Cylindrospermum muscicola
laccase, Chlorella pyrenoidosa
laccase, Cylindrotheca closterium
laccase, Uronema africanum
laccase, Spirulina sp
laccase, Scenedesmus dimorphus
lignin peroxidase, Scenedesmus dimorphus
manganese peroxidase, Scenedesmus dimorphus
versatile peroxidase, Scenedesmus dimorphus
laccase, Chlorella vulgaris
lignin peroxidase, Chlorella vulgaris
manganese peroxidase, Chlorella vulgaris
versatile peroxidase, Chlorella vulgaris
laccase, Chlamydomonas reinhardtii
lignin peroxidase, Chlamydomonas reinhardtii
manganese peroxidase, Chlamydomonas reinhardtii
versatile peroxidase, Chlamydomonas reinhardtii
laccase, Phaeodactylum tricornutum
lignin peroxidase, Phaeodactylum tricornutum
manganese peroxidase, Phaeodactylum tricornutum
versatile peroxidase, Phaeodactylum tricornutum
laccase, Dunaliella salina
lignin peroxidase, Dunaliella salina
manganese peroxidase, Dunaliella salina
versatile peroxidase, Dunaliella salina
laccase, Navicula pupula
lignin peroxidase, Navicula pupula
manganese peroxidase, Navicula pupula
versatile peroxidase, Navicula pupula
laccase, Anabaena spiroides
lignin peroxidase, Anabaena spiroides
manganese peroxidase, Anabaena spiroides
versatile peroxidase, Anabaena spiroides
laccase, Oscillatoria subbrevis
